,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
122,ON,ON Semiconductor Corporation,22.04,+0.14,+0.64%,4.072M,8.616M,9.055B,N/A
123,OLED,Universal Display Corporation,187.53,-1.02,-0.54%,"255,146","480,858",8.833B,86.90
124,LYFT,"Lyft, Inc.",28.51,-0.37,-1.28%,9.606M,8.562M,8.897B,N/A
125,IPGP,IPG Photonics Corporation,158.25,-1.76,-1.10%,"214,302","350,655",8.428B,66.55
126,FFIV,"F5 Networks, Inc.",136.05,-0.84,-0.61%,"641,481","845,309",8.323B,25.53
127,DOX,Amdocs Limited,61.80,+0.79,+1.30%,"698,924","847,973",8.25B,17.21
128,JNPR,"Juniper Networks, Inc.",24.82,-0.12,-0.48%,2.442M,3.17M,8.234B,24.26
129,NUAN,"Nuance Communications, Inc.",29.10,+0.44,+1.54%,3.052M,3.621M,8.215B,56.07
130,DBX,"Dropbox, Inc.",19.50,-0.13,-0.66%,5.13M,7.191M,8.061B,243.75
131,AZPN,"Aspen Technology, Inc.",118.90,-7.22,-5.72%,"707,940","520,744",8.052B,36.25
132,G,Genpact Limited,41.83,-0.12,-0.29%,"415,260",1.096M,7.98B,25.68
133,FSLY,"Fastly, Inc.",76.61,-3.13,-3.93%,7.953M,10.019M,8.059B,N/A
134,FSLR,"First Solar, Inc.",74.31,-1.40,-1.85%,1.119M,1.437M,7.874B,79.39
135,CREE,"Cree, Inc.",72.34,-0.01,-0.01%,"678,914",1.285M,7.824B,N/A
136,ESTC,Elastic N.V.,91.47,+1.81,+2.02%,"659,501",1.418M,7.801B,N/A
137,OCFT,"OneConnect Financial Technology Co., Ltd.",20.13,+0.24,+1.21%,1.112M,"782,876",7.434B,N/A
